season,INNING,INNING_TB,HOME_AWAY,RUNNER_STATE,OUT_COUNT,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIED,UPPER_1,UPPER_2,UPPER_3,UPPER_4
2025,2,0,away,7,0,2.3,2.47,2.5,2.39,2.13,1.82,1.43,1.06,0.69
2025,2,0,away,0,1,0.48,0.58,0.63,0.68,0.65,0.61,0.51,0.43,0.33
2025,2,0,away,1,1,0.89,1.05,1.17,1.22,1.18,1.07,0.91,0.74,0.55
2025,2,0,away,2,1,0.96,1.12,1.25,1.31,1.28,1.15,0.99,0.81,0.61
2025,2,0,away,3,1,1.51,1.75,1.92,1.98,1.88,1.69,1.43,1.13,0.82
2025,2,0,away,4,1,0.88,1.03,1.18,1.27,1.25,1.15,1.0,0.83,0.64
2025,2,0,away,5,1,1.33,1.52,1.66,1.69,1.62,1.47,1.27,1.0,0.73
2025,2,0,away,6,1,1.44,1.64,1.76,1.77,1.65,1.45,1.23,0.98,0.6
2025,2,0,away,7,1,2.02,2.26,2.41,2.38,2.22,1.94,1.61,1.25,0.81
2025,2,0,away,0,2,0.26,0.3,0.35,0.38,0.39,0.34,0.31,0.26,0.19
2025,2,0,away,1,2,0.6,0.71,0.8,0.86,0.86,0.77,0.68,0.56,0.4
2025,2,0,away,2,2,0.79,0.95,1.1,1.19,1.19,1.09,0.96,0.79,0.59
2025,2,0,away,3,2,1.2,1.43,1.6,1.69,1.66,1.5,1.31,1.05,0.75
2025,2,0,away,4,2,0.85,1.03,1.19,1.3,1.3,1.2,1.06,0.88,0.66
2025,2,0,away,5,2,1.24,1.48,1.66,1.76,1.73,1.57,1.37,1.1,0.8
2025,2,0,away,6,2,1.49,1.78,2.0,2.1,2.06,1.87,1.61,1.29,0.81
2025,2,0,away,7,2,2.27,2.65,2.93,3.04,2.93,2.64,2.23,1.74,1.11
2025,2,1,home,0,0,0.75,0.88,0.95,0.96,0.89,0.78,0.64,0.48,0.37
