season	count	run_value	ball	strike	ball_count	strike_count
2024	0-0	-0.0136	0.039	-0.0058	0	0
2024	0-1	0.0254	0	0	1	0
2024	0-2	0	0	0	2	0
2024	0-3	0	0	0	3	0
2024	1-0	-0.0194	0	0	0	1
2024	1-1	0	0	0	1	1
2024	1-2	0	0	0	2	1
2024	1-3	0	0	0	3	1
2024	2-0	0	0	0	0	2
2024	2-1	0	0	0	1	2
2024	2-2	0	0	0	2	2
2024	2-3	0	0	0	3	2
