# HOME_AWAY,INNING,INNING_TB,OUT_COUNT,BASE_STATE,UNDER_5,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIE,UPPER_1,UPPER_2,UPPER_3,UPPER_4,UPPER_5
A,1,0,0,0,0.138,0.189,0.252,0.326,0.41,0.5,0.59,0.674,0.748,0.811,0.862
A,1,0,0,1,0.162,0.218,0.285,0.363,0.448,0.536,0.622,0.702,0.772,0.83,0.877
A,1,0,0,2,0.175,0.234,0.305,0.385,0.471,0.56,0.645,0.722,0.789,0.844,0.887
A,1,0,0,12,0.203,0.266,0.339,0.42,0.505,0.59,0.671,0.744,0.806,0.857,0.897
A,1,0,0,3,0.186,0.248,0.321,0.404,0.492,0.581,0.665,0.74,0.804,0.856,0.897
A,1,0,0,13,0.216,0.282,0.358,0.441,0.528,0.614,0.694,0.764,0.823,0.871,0.908
A,1,0,0,23,0.232,0.301,0.379,0.464,0.551,0.636,0.713,0.78,0.836,0.881,0.916
A,1,0,0,123,0.26,0.331,0.41,0.494,0.578,0.658,0.732,0.795,0.848,0.889,0.922
A,1,0,1,0,0.122,0.17,0.231,0.303,0.387,0.477,0.568,0.655,0.733,0.799,0.853
A,1,0,1,1,0.139,0.19,0.253,0.328,0.412,0.502,0.591,0.675,0.75,0.812,0.863
A,1,0,1,2,0.147,0.201,0.267,0.343,0.429,0.518,0.607,0.689,0.761,0.822,0.871
A,1,0,1,12,0.165,0.222,0.289,0.367,0.452,0.54,0.625,0.705,0.774,0.831,0.878
A,1,0,1,3,0.16,0.216,0.285,0.365,0.453,0.543,0.631,0.711,0.78,0.837,0.882
A,1,0,1,13,0.178,0.238,0.309,0.389,0.476,0.564,0.649,0.726,0.792,0.846,0.889
A,1,0,1,23,0.19,0.253,0.326,0.408,0.495,0.582,0.665,0.74,0.803,0.855,0.896
A,1,0,1,123,0.207,0.271,0.344,0.426,0.511,0.596,0.676,0.748,0.81,0.86,0.899
A,1,0,2,0,0.112,0.158,0.216,0.287,0.37,0.46,0.553,0.642,0.722,0.79,0.846
A,1,0,2,1,0.12,0.167,0.227,0.299,0.382,0.472,0.564,0.652,0.73,0.797,0.851
A,1,0,2,2,0.125,0.173,0.235,0.308,0.392,0.483,0.574,0.66,0.737,0.803,0.856
A,1,0,2,12,0.133,0.184,0.246,0.32,0.404,0.494,0.584,0.669,0.744,0.808,0.86
A,1,0,2,3,0.127,0.176,0.238,0.312,0.396,0.487,0.578,0.664,0.741,0.805,0.858
A,1,0,2,13,0.137,0.188,0.251,0.326,0.41,0.5,0.59,0.674,0.749,0.812,0.863
A,1,0,2,23,0.141,0.193,0.257,0.333,0.417,0.506,0.595,0.679,0.752,0.815,0.865
A,1,0,2,123,0.156,0.21,0.276,0.352,0.437,0.525,0.612,0.693,0.764,0.824,0.872
