season,INNING,INNING_TB,HOME_AWAY,RUNNER_STATE,OUT_COUNT,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIED,UPPER_1,UPPER_2,UPPER_3,UPPER_4
2024,1,0,away,0,0,0.7,0.81,0.87,0.91,0.88,0.8,0.71,0.58,0.47
2024,1,0,away,1,0,1.15,1.31,1.4,1.43,1.38,1.25,1.08,0.89,0.69
2024,1,0,away,2,0,1.0,1.13,1.2,1.21,1.15,1.03,0.89,0.72,0.56
2024,1,0,away,3,0,1.59,1.76,1.85,1.84,1.73,1.54,1.31,1.04,0.78
2024,1,0,away,4,0,0.95,1.04,1.1,1.08,1.02,0.91,0.78,0.62,0.48
2024,1,0,away,5,0,1.54,1.67,1.72,1.67,1.54,1.36,1.13,0.88,0.66
2024,1,0,away,6,0,1.41,1.52,1.56,1.51,1.38,1.21,1.01,0.78,0.49
2024,1,0,away,7,0,1.96,2.09,2.12,2.03,1.85,1.61,1.3,0.99,0.66
2024,1,0,away,0,1,0.46,0.54,0.61,0.64,0.63,0.59,0.5,0.42,0.34
2024,1,0,away,1,1,0.91,1.06,1.15,1.21,1.17,1.07,0.93,0.78,0.58
2024,1,0,away,2,1,0.95,1.1,1.2,1.26,1.22,1.13,0.99,0.82,0.63
2024,1,0,away,3,1,1.53,1.75,1.89,1.92,1.85,1.69,1.46,1.17,0.87
2024,1,0,away,4,1,0.87,1.03,1.16,1.23,1.23,1.15,1.03,0.86,0.67
2024,1,0,away,5,1,1.43,1.62,1.74,1.76,1.7,1.57,1.36,1.11,0.84
2024,1,0,away,6,1,1.37,1.53,1.62,1.61,1.52,1.36,1.17,0.93,0.56
2024,1,0,away,7,1,1.92,2.12,2.22,2.21,2.08,1.86,1.57,1.25,0.85
2024,1,0,away,0,2,0.27,0.33,0.38,0.39,0.39,0.37,0.32,0.27,0.23
2024,1,0,away,1,2,0.59,0.71,0.79,0.83,0.82,0.77,0.66,0.56,0.43
2024,1,0,away,2,2,0.82,1.0,1.12,1.19,1.2,1.13,0.99,0.84,0.65
2024,1,0,away,3,2,1.23,1.45,1.6,1.67,1.64,1.52,1.32,1.07,0.81
2024,1,0,away,4,2,0.92,1.12,1.26,1.34,1.35,1.27,1.12,0.95,0.75
2024,1,0,away,5,2,1.24,1.47,1.64,1.71,1.69,1.56,1.37,1.13,0.88
2024,1,0,away,6,2,1.49,1.75,1.94,2.02,1.99,1.83,1.6,1.31,0.85
2024,1,0,away,7,2,2.14,2.48,2.7,2.78,2.69,2.46,2.1,1.68,1.13
2024,1,1,home,0,0,0.78,0.85,0.92,0.94,0.87,0.77,0.65,0.52,0.39
2024,1,1,home,1,0,1.25,1.39,1.47,1.46,1.35,1.18,1.0,0.78,0.58
2024,1,1,home,2,0,1.08,1.19,1.24,1.22,1.13,0.98,0.82,0.64,0.47
2024,1,1,home,3,0,1.71,1.87,1.91,1.84,1.68,1.45,1.19,0.91,0.65
2024,1,1,home,4,0,1.01,1.1,1.13,1.09,1.0,0.85,0.7,0.54,0.39
2024,1,1,home,5,0,1.64,1.76,1.76,1.66,1.48,1.26,1.01,0.76,0.55
2024,1,1,home,6,0,1.5,1.59,1.59,1.5,1.33,1.13,0.9,0.68,0.41
2024,1,1,home,7,0,2.08,2.17,2.14,2.0,1.76,1.47,1.15,0.85,0.55
2024,1,1,home,0,1,0.51,0.59,0.64,0.65,0.63,0.56,0.48,0.38,0.3
2024,1,1,home,1,1,1.0,1.14,1.23,1.23,1.17,1.03,0.87,0.7,0.51
2024,1,1,home,2,1,1.05,1.19,1.28,1.3,1.23,1.09,0.91,0.74,0.55
2024,1,1,home,3,1,1.69,1.88,1.98,1.97,1.84,1.61,1.35,1.04,0.75
2024,1,1,home,4,1,0.97,1.11,1.23,1.28,1.26,1.13,0.97,0.78,0.58
2024,1,1,home,5,1,1.56,1.73,1.82,1.8,1.69,1.5,1.26,1.0,0.72
2024,1,1,home,6,1,1.49,1.63,1.69,1.64,1.5,1.29,1.07,0.84,0.49
2024,1,1,home,7,1,2.08,2.25,2.31,2.23,2.03,1.75,1.44,1.11,0.73
2024,1,1,home,0,2,0.31,0.35,0.39,0.42,0.39,0.36,0.31,0.26,0.2
