season,situation,value,runner_state,out_count,run,count
2024,00,0.605,0,0,13599,22488
2024,01,0.319,0,1,4963,15549
2024,02,0.123,0,2,1484,12050
2024,03,0.0,0,3,0,0
2024,10,1.033,1,0,6355,6150
2024,11,0.613,1,1,4171,6800
2024,12,0.26,1,2,1759,6761
2024,13,0.0,1,3,0,0
2024,20,1.293,2,0,2159,1670
2024,21,0.81,2,1,2454,3029
2024,22,0.393,2,2,1388,3530
2024,23,0.0,2,3,0,0
2024,30,1.665,3,0,2824,1696
2024,31,1.074,3,1,3085,2872
2024,32,0.54,3,2,2028,3755
2024,33,0.0,3,3,0,0
2024,40,1.453,4,0,327,225
2024,41,1.071,4,1,987,921
2024,42,0.421,4,2,631,1497
2024,43,0.0,4,3,0,0
2024,50,1.949,5,0,1057,542
2024,51,1.307,5,1,1573,1203
2024,52,0.533,5,2,839,1575
2024,53,0.0,5,3,0,0
2024,60,2.218,6,0,814,367
2024,61,1.543,6,1,1406,911
2024,62,0.645,6,2,672,1042
2024,63,0.0,6,3,0,0
2024,70,2.589,7,0,1201,464
2024,71,1.752,7,1,2189,1249
2024,72,0.88,7,2,1389,1578
2024,73,0.0,7,3,0,0
